modo,estrategia,fecha,pv_kwh,costo_total,costo_norm,diesel_L,diesel_h,ens_kwh,ens_h,deficit_kwh,deficit_max_kw,soc_start_kwh,soc_min_kwh,soc_final_kwh,import_kwh,export_kwh,curtailed_kwh,viol
grid30,smpc,2026-07-24,198.01842405805309,63363.538497414665,63881.93155004625,510.438404509,14,0.0,0,0.0,0.0,130.0,123.52008684210529,123.52008684210529,159.90560158248982,203.04786969785096,0.0,0
grid30,smpc,2026-07-25,207.10425167565415,63794.35860758455,63794.35566021613,538.438404509,15,0.0,0,0.0,0.0,123.52008684210529,123.52008684210529,123.52012368421052,123.62616308198344,219.03325881494567,0.0,0
grid30,smpc,2026-07-26,179.77616604562493,63779.43324393205,63779.43029656363,538.438404509,15,0.0,0,0.0,0.0,123.52012368421052,123.52012368421052,123.52016052631578,123.50155680806466,191.58056691099767,0.0,0
grid30,smpc,2026-07-27,178.7858418577156,63799.54709483679,63799.54414746836,538.438404509,15,0.0,0,0.0,0.0,123.52016052631578,123.52016052631578,123.52019736842108,123.84907299281116,190.93775890783485,0.0,0
grid30,smpc,2026-07-28,204.27943056075685,63787.59697991142,63787.594032543,538.438404509,15,0.0,0,0.0,0.0,123.52019736842108,123.52019736842108,123.52023421052634,123.64298675731148,216.2252613753764,0.0,0
grid30,smpc,2026-07-29,180.47724219655015,64060.67350422366,63542.27455685524,538.438404509,15,0.0,0,0.0,0.0,123.52023421052634,123.52023421052634,130.0002210526316,123.5929260099007,185.5520122637589,0.0,0
grid30,smpc,2026-07-30,194.2763031773748,56270.23329607937,57374.35834871095,442.5631688959999,14,0.0,0,0.0,0.0,130.0002210526316,116.19865789473684,116.19865789473684,159.92875828237192,97.23890551705476,0.0,0
grid30,smpc,2026-07-31,192.6368020766043,56499.90375720735,56659.50080983893,443.324260013,14,0.0,0,0.0,0.0,116.19865789473684,114.20369473684212,114.20369473684212,152.5490788539832,77.04272498789554,0.0,0
grid30,smpc,2026-08-01,203.5248635202317,56224.43923439039,56283.944287021965,440.2831813629999,14,0.0,0,0.0,0.0,114.20369473684212,113.4598815789474,113.4598815789474,151.93413328245268,81.00484085999247,0.0,0
grid30,smpc,2026-08-02,210.5356350872605,56069.753919510855,56522.25497214244,440.335877165,14,0.0,0,0.0,0.0,113.4598815789474,107.80361842105266,107.80361842105266,152.77067796315424,94.1271571077228,0.0,0
grid30,smpc,2026-08-03,162.88303947567306,56642.0979379189,56410.37099055048,441.768259011,14,0.0,0,0.0,0.0,107.80361842105266,107.80361842105266,110.70020526315793,153.53541098096957,40.60429451395072,0.0,0
grid30,smpc,2026-08-04,205.22886252549716,57044.64115132995,56929.27020396153,470.465413525,15,0.0,0,0.0,0.0,110.70020526315793,110.70020526315793,112.1423421052632,123.53250585542172,105.6082124382269,0.0,0
grid30,smpc,2026-08-05,114.5457078177002,57507.52525118978,57962.23030382136,453.125864717,14,0.0,0,0.0,0.0,112.1423421052632,106.45852894736846,106.45852894736846,154.69016933829474,21.10972121330301,0.0,0
grid30,smpc,2026-08-06,134.58682847205665,57922.9685441596,58417.80159679119,459.1847640639999,14,0.0,0,0.0,0.0,106.45852894736846,100.27311578947372,100.2731157894737,152.66289720046615,49.56656972983086,0.0,0
grid30,dmpc,2026-07-24,198.01842405805309,63636.37849741467,63636.37555004625,510.438404509,14,0.0,0,3.552713678800501e-15,3.552713678800501e-15,130.0,130.0,130.00003684210526,159.9056015824898,196.22686969785093,0.0,0
