hour,timestamp,pv_real_kw,load_real_kw,diesel_kw,grid_kw,charge_kw,discharge_kw,curtailed_kw,ens_kw,tariff,soc_kwh,violation,cost_diesel,cost_grid,cost_battery
0,2026-07-24 00:00:00-05:00,0.15753180439213185,11.269355206115684,0.0,11.111823401723552,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,540.0320530775598,0.0
1,2026-07-24 01:00:00-05:00,0.172105152951879,10.694233346499276,0.0,10.522128193547397,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,513.4957687096329,0.0
2,2026-07-24 02:00:00-05:00,0.2344960908620061,10.694233346499276,0.0,17.57473725563727,7.115,0.0,0.0,0.0,45.0,130.0,0,0.0,830.8631765036772,284.6
3,2026-07-24 03:00:00-05:00,0.14998172012469466,10.694233346499276,0.0,10.544251626374582,0.0,0.0,0.0,0.0,45.0,136.75925,0,0.0,514.4913231868561,0.0
4,2026-07-24 04:00:00-05:00,0.17208833012146615,20.224824162999756,0.0,20.05273583287829,0.0,0.0,0.0,0.0,45.0,136.75925,0,0.0,942.3731124795231,0.0
5,2026-07-24 05:00:00-05:00,0.12964687886309242,27.33168714254537,0.0,27.202040263682278,0.0,0.0,0.0,0.0,45.0,136.75925,0,0.0,1264.0918118657025,0.0
6,2026-07-24 06:00:00-05:00,0.3568695833053323,29.385693784032547,0.0,29.028824200727215,0.0,0.0,0.0,0.0,80.0,136.75925,0,0.0,2362.3059360581774,0.0
7,2026-07-24 07:00:00-05:00,2.4507735250477505,43.17880217378388,50.0,-2.450971351263874,6.821,0.0,0.0,0.0,80.0,136.75925,0,2800.0,40.0,272.84
8,2026-07-24 08:00:00-05:00,7.149529665965556,62.53112730631657,62.531,-7.149402359648981,0.0,0.0,0.0,0.0,80.0,143.2392,0,3567.5625961,40.0,0.0
9,2026-07-24 09:00:00-05:00,12.623157981568296,62.94192863461401,62.942,-12.623229346954282,0.0,0.0,0.0,0.0,80.0,143.2392,0,3593.2695363999997,40.0,0.0
10,2026-07-24 10:00:00-05:00,25.84334267134578,65.61213726854733,65.612,-25.843205402798446,0.0,0.0,0.0,0.0,80.0,143.2392,0,3761.0934543999997,40.0,0.0
11,2026-07-24 11:00:00-05:00,26.965042244800443,67.17318231607759,67.173,-26.96485992872286,0.0,0.0,0.0,0.0,80.0,143.2392,0,3859.8711929000006,40.0,0.0
12,2026-07-24 12:00:00-05:00,28.335720857873607,73.66384330317705,73.664,-28.335877554696566,0.0,0.0,0.0,0.0,80.0,143.2392,0,4275.838489600001,40.0,0.0
13,2026-07-24 13:00:00-05:00,26.887958876097873,66.59806045646117,66.598,-26.8878984196367,0.0,0.0,0.0,0.0,80.0,143.2392,0,3823.4293604,40.0,0.0
14,2026-07-24 14:00:00-05:00,23.79836303179631,62.44896704065709,62.449,-23.798395991139223,0.0,0.0,0.0,0.0,80.0,143.2392,0,3562.4377601,40.0,0.0
15,2026-07-24 15:00:00-05:00,19.929262442178754,61.58628425123247,61.586,-19.92897819094628,0.0,0.0,0.0,0.0,80.0,143.2392,0,3508.5835396,40.0,0.0
16,2026-07-24 16:00:00-05:00,13.951901932710498,62.0792458451894,62.079,-13.951656087521094,0.0,0.0,0.0,0.0,80.0,143.2392,0,3539.3302241,40.0,0.0
17,2026-07-24 17:00:00-05:00,6.499552722045366,63.252704616230645,63.253,-6.499848105814721,0.0,0.0,0.0,0.0,80.0,143.2392,0,3612.7442009,40.0,0.0
18,2026-07-24 18:00:00-05:00,1.2884026609168522,80.0,80.0,-1.2884026609168586,0.0,0.0,0.0,0.0,80.0,143.2392,0,4690.0,40.0,0.0
19,2026-07-24 19:00:00-05:00,0.07138851875450626,63.84210898714483,63.842,-0.07127953160966882,0.0,0.0,0.0,0.0,140.0,143.2392,0,3649.6800964000004,40.0,0.0
20,2026-07-24 20:00:00-05:00,0.3005326400221054,34.561790520580224,50.0,-7.121742119441883,8.617,0.0,0.0,0.0,140.0,143.2392,0,2800.0,40.0,344.68000000000006
21,2026-07-24 21:00:00-05:00,0.1322071326900088,26.5100844859505,0.0,-0.13212264673951069,0.0,26.51,0.0,0.0,140.0,151.42535,0,0.0,40.0,1060.4
